NSW,SW
acah2,acah-acah
ad,ada
asik,asyik
ayt,ayat
bangsat,jahanam
base,bahasa
bc,baca
bca,baca
bce,baca
best,terbaik
bgai,bagai
bgtahu,beritahu
bhgia,bahagia
biasa biasa,biasa
bkn,bukan
bleh,boleh
blh,boleh
blhla,bolehlah
blm,belum
bnyak,banyak
bole,boleh
bontot,punggung
bru,baru
bt,buat
bthun2,bertahun-tahun
btoi,betul
btol,betul
btul,betul
bujg,bujang
c,si
cek,semak
cer,cuba
chop,tetak
ckit,sikit
ckp,cakap
cma,cuma
cmtu,macam itu
crita,cerita
ctu,situ
d,di
dah,sudah
dah2,sudah
dak,tidak
dgn,dengan
dgr,dengar
dh,sudah
di bawa,dibawa
dkt,dekat
dlm,dalam
dpt,dapat
dr,dari
dr,daripada
dtg,datang
duk,duduk
dy,dia
h,hospital
hri,hari
hsptal,hospital
igt,ingat
ingt,ingat
jd,jadi
jdi,jadi
jdk,jadi
jg,juga
jgan,jangan
jgk,juga
jgn,jangan
jgnla,janganlah
jtuh,jatuh
keja,kerja
keje2,kerja-kerja
kejekn,mengerjakan
kja,kerja
klau,kalau
klu,kalau
kluarga,keluarga
kna,kena
kpdNYA,kepadanya
krja,kerja
kt,kita
ktgn,kakitangan
ku,aku
lak,pulak
lbih,lebih
lg,lagi
lh,lah
lps,lepas
mcmana,macam mana
mcmna,macam mana
mcmtu,macam itu
memng,memang
mgundi,mengundi
mkck,mak cik
mkn,makan
mlm,malam
mmg,memang
mmpi,mimpi
mna,mana
mnteri,menteri
msia,malaysia
msk,masuk
msti,mesti
ne,ini
ngan,dengan
ngokngek,buruk
ni,ini
nk,nak
nme,nama
nsib,nasib
nti,nanti
nyaya,menganayai
nye,punya
org,orang
ot,kerja lebih masa
p,pergi
pagi pagi,pagi-pagi
pantat,punggung
patutlh,patutlah
pendaptn,pendapatan
pepagi,pagi-pagi
pg,pagi
pg,pergi
pggl,panggil
pham,faham
pn,pun
pnh,pernah
pntg,penting
pny,punya
pstu,lepas itu
pukima,faraj emak
rmai,ramai
rompk,rompak
rupa nya,rupanya
sama sama,sama-sama
sb,sebab
sbb,sebab
sbgai,sebagai
sdh,sudah
semata2,semata-mata
sgh,sungguh
sgt,sangat
shat,sihat
sis,kakak
sja,sahaja
skali,sekali
skg,sekarang
skrg,sekarang
smata mata,semata-mata
smpai,sampai
smpi,sampai
sngt,sangat
sorg,seorang
sorg2,seorang-seorang
sory,maaf
spec,cermin mata
spek,cermin mata
spen,menggunakan
sperti,seperti
sruh,suruh
suport,sokong
sy,saya
syg,sayang
taalah,taala
tak,tidak
tappaw,termasuk semua
tau,tahu
tauuu,tahu
td,tadi
tdi,tadi
teguling guling,terguling-guling
terbaik lh,terbaiklah
terbaikla,terbaiklah
tgh,tengah
tgk,tengok
thn,tahun
thu,tahu
tnya,tanya
tp,tetapi
tpi,tetapi
trbaik,terbaik
trus,terus
tuk,untuk
tw,tahu
u,awak
utk,untuk
wak,awak
wn,menang
wt,buat
wtf,apakah jadah
x,tidak
xadil,tidak adil
xde,tiada
xleh,tidak boleh
xmuat,tidak muat
xnak,tidak ingin
xpela,tidak mengapa
xsempurna,tidak sempurna
y,yang
yall,kamu semua
yg,yang
