user,message
Omar H. Johari," orang buat samapi 3 kerja ...semata-mata mengejar dunia memang layak dikatogerikan sebagai orang gila...."
Zul Danish," bro dia punya cakap mcm ci suruh dia kerja 1 hari 3 kerja tegok kalau tidak masuk hospital gila atau masuk lubang kubor"
Yo Yo Geraldson," senang cerita daripada awal....awal dulu cakap gst tidak membebankan....nah...srkg srh rakyat buat 2 3 kerja...itu sudah nmanya membebankan...kesihatan,masa dengan keluarga semua kena jaga...."
Missy Othman," saya tidak mengiakn or tidak menidakkn apa kte maslan tetapi saya ttp ada buat 3 kerja jugk. bukn senang nak senang dn bukn sush nak susah. lau ari2 merungut tetapi tidak usaha tidak guna jugk. lau usaha keras tetapi boros pun lagi hancus.. so nak kerja berape kli sehari pun trpulan...see more"
Puan Andak," saya pun banyak kerja ni. juga ank, juga suami, buat mkn, kemas rumah, online business. haaa... sapa nak tlg buat online business? mai2... sampai cari agent ni."
Eno Yunalis,"  stakat nak cakap bukan susah pun..air ludah sahaja yang klua daripada mulut tu, bukan bpeluh pun..kene sapu madu selalu bibir mati tu, baru manis mmanjang..dh jadi golongan pak menteri ini kena cakap merapu lebih, kalu x, tidak meriah la..same lah tu, sorang suruh jimat, s...see more"
Siti Aisyah Rosli," tidak lama lagi ahmad maslan masuk lah situ , asyik keluarkan kenyataan tidak masuk akal sahaja . selalunya orang gila yang cakap tidak pakai otak ini "
Baharum Latif," malas aku nak layang bior dia telan besor benor tembolok kalau sudah terlampau cerdik sgat orang ckap boleh jadi ising.......hidup hanya sementara kalau tiada bekalan amal kebaikan"
Pak Maun Nrc Floc," dulu sesuai lah kita gelarkan mereka jemaah menteri....."
,"sekarang kita tukar sebagai jemaah bangang abadi........"
Teratai Wangi," memang sye tabik...ngan bro tetapi sygnya yang xbaik last itu aduh....hahahaa...bahagia..."
Rina Reen," orang2 aii baloi tidak payah undi ahmad maslan sebab dia bingong. ..kau orang buat 3 kerja...bila nak rehat dan bersama2 keluarga. .. bila nak beramal ibadat ..."
Siti Areja Hajar," khadijah maskam kita perlu buat 3 kerja untuk g bahagia... kikiii grin emoticon"
Kak Edah Edah," orang yang lupa asal usul....bila berjaya lupa.....dia yang diberi kelebihan oleh allah...."
Jo Jambu," pemerintah yang zalim.... cakap xserupa bikin..cuba dia ada pada tempat kita..aku rasa dia sudah masuk hospital bahagia"
Zaharudin Abd Hamid," terkini & sahih..."
,"msl2016 - transfer update"
,"dickson nwakaeme dikatakan akan bermain bagi pasukan pahang fc di dalam saingan liga super 2016 & beliau juga akan bermain bagi pasukan jdt fc dalam saingan piala afc 2016. beliau dikatakan berbuat keputusan tersebut demi menyahut saranan yang dibuat oleh yb. dato' ahmad maslan...#2kerja"
Ummi Cheq Farah Abdullah,""
Ummi Cheq Farah Abdullah," assalamualaikum. saya ada jual makanan sunnah. habatus sauda, madu sumra' yaman, argan oil, extra virgin olive oil. jom kita sama2 amalkan makanan sunnah insha allah dapat menyembuh segala penyakit kecuali mati. "
Zalani Harun," tidak terkecuali pegawai kerajaan yang kedaqah rasuah,rembat duit peruntukan..."
,"sampaikan baju uniform pun tidak dapat,asal komisyen masyukkk....see more"
