NSW,SW
abam,abang
abes,habis
abis,habis
ade,ada
ader,ada
amoi,perempuan
ape,apa
bace,baca
baiekk,baik
bangge,bangga
die,dia
dok,sampai
dorg,mereka
gak,juga
gan,dengan
gara2,petanda
gile,gila
gini,begini
hakak,kakak
hantaq,hantar
hare,haram
hensem,kacak
jadik,jadi
je,sahaja
jek,sahaja
jelah,sahajalah
jendol,kesat
jer,sahaja
joli,bersuka-ria
jugak,juga
"k,o",mati
ka,~kah
kalo,kalau
kan,atau tidak
kat,di
kat,pada
ke,atau
ke,atau tidak
kehospital,atau hospital
keje,kerja
kene,kena
kengkawan,kawan-kawan
ker,atau tidak
kije,kerja
kite,kita
klako,kelakar
klo,kalau
ko,kau
kompom,pasti
korang,kamu semua
korg,kamu semua
kot,mungkin
kot2,mungkin
kt,di
kt,dekat
la,lah
lak,pulak
laki,lelaki
last2,akhirnya
ler,lah
lupe,lupa
macai,pengikut
mak,emak
mamber,kawan
masok,masuk
mau,mahu
mcm le,macamlah
mekaceh,terima kasih
membackup,menyebelahi
member,kawan
mende,apa benda
mende,benda
mengong,otak tidak bersambung
mintak,minta
mne,mana
mu,kamu
nie,ini
nih,ini
nye,nya
pasai,pasal
plak,pula
pulak,pula
sabor,sabar
sape,siapa
sape2,sesiapa
sapela,siapalah
selame,selama
sne,sana
sohai,faraj bodoh
sume,semua
suroh,suruh
taik,tahi
takde,tiada
tdo,tidur
terbaek,terbaik
tido,tidur
tidor,tidur
tu,itu
tuh,itu
tuuu,itu
tuuu,itu
uolll,kamu semua
usha,tengok
wat,buat
ye,ya
